Rhodolith beds,Chemical ecology,Reproduction,Holobiont,Deep reefs,Climate change,Fisheries,Methods,Taxonomy & Systematics,Macroalgae & Herbivory,Habitat structure,Oceanic islands,Trophic ecology & Nursery habitats ,Geomorphology & Paleontology,Oceanography & Productivity,Demography,Anthozoan biology,Hydrodynamics,Fish interactions,Invasive species,Biogeography & Phylogeography,Tourism & Pollution,Distribution limits,Cytogenetics,Conservation & Managemen
rhodolith,sponge,reproduction,association,depth,temperature,fishery,data,describe,community,abundance,island,habitat,sediment,water,size,colony,north_eastern_coast,behavior,invasive,population,impact,distribution,family,conservation
form,invertebrate,larvae,bacteria,water,increase,fishing,analysis,genus,algae,structure,record,feed,shelf,season,growth,scleractinia,beach,reef_fish,invasion,atlantic,environment,region,analysis,management
rhodolith_bed,chemical,female,diversity,record,condition,management,model,sp_nov,benthic,assemblage,archipelago,diet,carbonate,seasonal,year,cnidaria,state,feed,community,genetic,human,tropical,number,marine_protected_area
coralline_algae,extract,stage,disease,deep,bleach,knowledge,method,taxonomy,coral_reef,diversity,south_western_atlantic,trophic,deposit,river,site,zoanthid,intertidal,forage,spp,dispersal,coral_reef,occur,region,ecosystem
rhodophyta,identify,crab,isolated,south_atlantic,change,fisher,process,record,abundance,rocky_reef,atlantic,mangrove,sea_level,estuary,population,siderastrea_stellata,fauna,individual,competition,barrier,tourism,south,group,biodiversity
algae,activity,develop,microbial,ocean,coral_reef,important,identify,specimen,macroalgae,habitat,aspsp,ecology,formation,estuarine,individual,association,polychaeta,association,tubastraea_coccinea,caribbean,cause,southern,present,mpa
bank,octocoral,male,host,shallow,effect,local,potential,report,cover,influence,reef_fish,important,sedimentation,influence,age,endemic,mollusc,parrotfish,native,molecular,change,sea,represent,protect
coralline,present,maturity,type,south_western_atlantic,event,information,ecological,character,dominant,density,shark,food,foraminifer,sample,density,anthozoa,wave,interaction,biological,biogeography,anthropogenic,range,chromosome,environment
depth,report,larval,vibrio,report,climate_change,fishermen,provide,previous,taxa,community,oceanic_island,juvenile,margin,nutrient,rate,palythoa_caribaeorum,environment,cleaning,control,pacific,dive,present,location,monitoring
state,include,month,strain,part,response,catch,survey,morphological,diversity,site,ocean,pattern,continental_shelf,system,estimate,observ,bahia,follow,tubastraea,western_atlantic,indicat,geographic,reef_fish,effective
structure,defense,observ,health,time,ocean,caught,classification,shrimp,abrolhos,fish_assemblage,atol_das_rocas_,prey,holocene,zooplankton,frequency,fragment,tide,damselfish,substrate,connectivity,effect,degrees_s,perciform,economic
build,investigate,spawning,sequence,value,exposure,resource,technique,crustacea,site,rich,location,select,basin,variation,determine,polyp,pernambuco,juvenile,interaction,sequence,activities,caribbean,pair,risk
shape,compound,biology,braziliensis,mesophotic,stress,snapper,system,decapod,biomass,association,pattern,nursery,fossil,salinity,present,millepora,zone,stegastes_fuscus,natural,evolution,natural,limit,brasiliensis,threatened
production,echinoderm,occur,gene,delta,acidification,commercial,quantify,state,seaweed,_community_structure,rock,estuary,upper,rain,show,form,macrofauna,fernando_de_noronha,rocky_reef,data,pollution,gulf,karyotype,important
lithophyllum,sea_urchin,length,mussismilia,basin,degrees_c,data,applied,genera,different,pattern,endemic,different,palaeo,ecosystem,variation,morphological,sabellaria,cleaner,tubastraea_tagusensis,differ,zone,mexico,evolution,assessment
live,ascidian,egg,community,occurrence,environment,artisanal,understand,western_atlantic,turf,artificial_reef,south_atlantic,herbivore,sand,tropical,range,skeletal,flat,activity,bay,phylogenetic,disturbance,continental_shelf,observ,consider
espirito_santo,show,period,analysis,order,impact,exploit,evaluate,description,_community_structure,species_richness,oceanic,preference,siliciclastic,dry,length,show,substrate,observ,experiment,eastern,assess,north,show,ecological
world,provide,specimen,identify,deep_reef,light,stock,comparison,collect,functional,complex,distribution,available,surface,plankton,class,provide,occurrence,record,introduc,tropical,recreational,subtropical,obtain,strategy
cell,presence,sexual,symbiodinium,scale,climate,target,available,new_species,important,variable,fauna,adult,change,spatial,mortality,present,characterize,client,colonization,pattern,diver,florida,cytogenetic,coral_reef
calcareous,potential,release,symbiosis,sample,photosynthe,reef_fish,information,north_eastern_coast,organism,distance,equatorial,predator,abrolhos,tide,per,mussismilia,sand,rate,south_western_atlantic,phylogeny,debris,extensi,characterize,threat
corallinales,sea,octopus,group,slope,seawater,reserve,image,provide,tropical,underwater_visual_census,list,ontogeny,sedimentary,environment,time,branch,subtidal,territorial,potential,speciation,plastic,northern,data,include
abrolhos,porifera,size,specific,tropical,level,serranidae,work,morphology,transect,gradient,remote,niche,control,net,otolith,fauna,hydrodynamic,food,sun_coral,analysis,ecosystem,outhern_brazil,teleostei,state
bryozoa,observ,recruitment,characterize,deep_sea,concentration,endangered,video,extend,sargassum,factor,fernando_de_noronha,tropical,mix,upwelling,period,mussismilia_hispida,vermetid,size,rio_de_janeiro,dna,scuba,bottom,labridae,trade
collect,collect,april,mucus,per,global,region,tool,include,invertebrate,effect,survey,microhabitat,morphology,bay,temporal,diameter,tide_pool,follower,expand,recent,benthic_organisms,degrees,presence,establish
represent,bryozoa,oocyte,parasite,recent,turbid,capture,map,represent,rich,south_eastern_coast,biogeography,ecological,biogenic,station,parameter,partial,rock,ecology,recruitment,divergence,present,location,work,network
cca,ophiuroidea,decapod,different,western,thermal,lutjanidae,predict,time,bed,spatial,endemism,investigate,benthic,temporal,vary,millepora_alcicornis,collect,phase,investigate,relationship,local,eastern,single,understand
sporolithon,animal,august,mussismilia_hispida,offshore,calcifi,conservation,specific,bahia,substrate,habitat_complexity,seamount,item,outer_shelf,channel,relationship,sea_anemone,gastropod,territory,settlement,genus,damage,southeast,halichoeres,global
material,gorgonian,gonad,dna,mound,exposed,increase,field,addition,coral_cover,relationship,trindade,type,glacial,source,growth_rate,number,sandstone,sparisoma,effect,level,pressure,rare,structure,system
abrolhos_bank,predator,february,novel,isotope,mass,small_scale,modelling,key,amphipod,period,trindade_island,role,association,concentration,increase,variation,bay,predation,organism,reef_fish,reduce,portion,feature,ornamental
crustose_coralline_algae,soft_coral,brachyura,abrolhos_bank,campos,sea_surface_temperature,grouper,research,atlantic,herbivory,artificial,insular,omnivory,evolution,biomass,average,variable,biodiversity,turtle,non_indigenous,phylogeography,order,consider,carry,sustainab
important,assay,peak,microbiome,range,combine,interview,assessment,sao_paulo,influence,rio_de_janeiro,collection,consume,barrier,phytoplankton,weight,ecological,pools,north_eastern_coast,establish,geographic,consequence,small,rdna,objective
bed,crude,october,symbiont,atlantic,scenario,line,useful,congener,halimeda,different,western,increase,erosion,show,capture,important,predominant,adult,physical,mitochondrial,absence,latitude,comparative,implement
identify,source,aspects,cyanobacteria,represent,el_nino,baseline,mapping,family,flora,physical,unique,small,north,dynamic,band,hydroid,made,mimicry,succession,diversity,evaluate,degrees_w,position,oil
feature,organism,settlement,dinoflagellate,addition,affected,south_eastern_coast,coral_reef,fin,factor,assess,movement,estuarine,regime,vary,indicat,occur,shore,color,plate,province,urbanized,include,pomacentridae,local
contribut,natural,september,zooxanthellae,gas,experiment,occurrence,complex,systematic,abiotic,heterogeneity,zoogeography,primary,system,strong,annual,analysis,comparison,body_size,remove,evidence,level,latitudinal,haemulon,measure
provide,secondary_metabolites,fecundity,reveal,include,stressor,research,detect,caridea,dynamic,ichthyofauna,blenniidae,subtropical,middle,variable,seahorse,build,paraiba,scaridae,ilha_grande,clade,presence,review,identify,perception
thallus,reveal,sex,rrna,demonstrate,system,goliath_grouper,future,nov,filament,composit,isolated,seagrass_bed,pleistocene,cycle,dynamic,azooxanthellate,relate,agonistic,fouling,population_structure,intense,spatial_distribution,addition,status
lithothamnion,effect,population,metagenomic,atmosphere,monitoring,inside,photography,south_eastern_coast,epiphytic,group,expedition,south_western_atlantic,occur,discharge,measure,verrill,coastline,goby,predation,gene_flow,test,sand,pattern,activities
encrust,star,season,detect,carbon,physiology,strategy,environment,material,negative,decrease,shallow,habit,dominant,production,relative,siderastrea,alagoas,sea_turtle,treatment,history,quality,west,multiple,contribut
anatomy,carijoa_riisei,index,pathogen,north_atlantic,bahia,regard,suitable,coloration,reef_flat,variation,conduct,resource,core,freshwater,mark,live,exposed,green_turtle,oil,distance,beach,south_america,angelfish,biological
calcium_carbonate,isolated,july,show,intermediate,driver,conduct,dynamic,taxa,summer,bottom,checklist,change,transport,copepod,grow,structure,local,swimming,comparison,hypothesis,trampling,substrate,pomacanthidae,program
describe,tissue,small,pigment,follow,recover,lutjanus,underwater,color,seagrass,shelter,number,contribut,develop,spring,model,specimen,near,wrasse,bivalve,markers,urban,demersal,band,vulnerability
morphology,predation,december,diverse,indicate,future,abrolhos_bank,present,distinguish,shallow,explain,small,carnivorous,shell,currents,sub,armacao_dos_buzios,approximate,western_atlantic,exotic,region,contamination,literature,comprise,integrate
extensi,beta,histolog,relate,deep_sea_coral,mortality,biomass,database,caribbean,condition,bay,atoll,strategy,terrigenous,pelagic,old,hydrozoa,variable,haemulon,sessile,genetic_diversity,important,appear,south_eastern_coast,policy
cover,caribbean,carry,similar,rich,reduce,epinephelus_itajara,obtain,synonym,driver,infauna,mainland,abundance,slope,collect,fix,type,identify,fid,barnacle,coi,ingest,water,relate,social
sporolithales,demospongiae,lobster,phylogenetic,sea,capacity,effort,estimate,revision,benthic_community,northern,saint,crustacea,geomorphology,near,examin,fire_coral,construct,competition,possible,morphological,affected,soft,consider,scale
gracilaria,produce,important,dominant,thousand,enso,north_eastern_coast,produce,body,herbivore,trophic_structure,elasmobranch,ecosystem,shallow,tides,calculated,massive,rio_grande_norte,role,alien,mediterranean_sea,activity,santa_catarina,important,create
tetrasporangial,field,collect,core,warm,intense,zone,improve,dorsal,quadrat,structural_complexity,mid_atlantic_ridge,consumption,mud,transport,slow,asexual,macrobenthos,preference,evaluate,lineage,direct,shallow_water,involv,national
deep,cell,cycle,endemic,circulation,factor,epinephelus_marginatus,bathymetry,illustrate,relative,follow,manta,provide,outer,summer,young,organism,littoral,shelter,success,ocean,visitation,widespread,report,extinction
ocean,property,body,holobiont,poorly,decrease,gear,test,pacific,calcareous_algae,species_composition,martin_vaz,guild,accumulat,winter,manatee,presence,structure,chelonia_mydas,detect,status,ecological,amazon_river,nors,target
red_algae,evaluate,sperm,genome,knowledge,rate,spawning,generate,propose,offshore,module,restrict,hypothesis,rise,surface,rapid,braziliensis,atol_das_rocas_,frequency,space,indicate,degradat,relative,complex,assess
coralline_red_algae_,spectroscopy,examin,taxonomy,isotopic,tolerance,decline,detail,complex,biotic,refuge,report,linnaeus,valley,land,population_structure,montastraea_cavernosa,energy,bottom,oyster,genetic_structure,coastal_reef,mud,ribosomal,resource
role,haliclona,octopus_insularis,infection,cold_water,warming,scientific,include,alpheidae,trait,belonging,include,functional,period,suspended,proportion,zoantharia,aims,bite,benthic,ecological,factor,inner,haemulidae,spatial
light,belonging,seasonal,cell,oxygen,anomaly,lutjanus_analis,propose,alpheus,green,wave_exposure,pelagic,relate,comprise,flow,life_history,consequence,particular,time,bicolor,mitochondrial_dna,increase,american,distinct,exist
mechanism,resistant,brood,contain,east,finding,trend,develop,basis,abrolhos_bank,reef_fish_assemblage,melichthys_niger,ground,supply,contribut,characteristic,consider,zonation,acanthurus,scleractinia,support,animal,outer,pisces,relevant
carbonate_production,chemical_defense,obtain,genomic,past,metabolism,migration,constraint,collection,coastal_reef,positiv,carcharhinus,partition,modern,nitrogen,regression,variabilis,height,acanthurus_bahianus,contact,include,occup,secondary,site,priority
geniculate,phyllogorgia_dilatata,rock,acid,rov,foraminifer,reveal,feature,spine,functional_groups,contrast,shallow_water,stomach_content,stratigraphy,pernambuco,tropical,andor,port,acanthuridae,process,reveal,conduct,possible,morphometric,multiple
bioerosion,previous,life_history,protein,antipatharia,day,eastern_brazil,different,combine,chlorophyta,near,chain,examin,geologic,mu_m,inshore,poorly,lagoon,visual,subtidal,nuclear,addition,documented,heterochromatin,regional
rbcl,situ,surface,investigate,lophelia_pertusa,negative,overfishing,perform,dark,eastern_brazil,indicat,brazilian_province,movement,boundary,significant,validation,sparisoma_radians,diverse,initial,parana,indicat,user,america,variable,resilience
recent,active,sex_ratio,grow,water_mass,significant,characteristic,determine,shallow_water,component,functional,extinction,according,miocene,oceanic,percent,venom,characteristic,elacatinus_figaro,hard,distinct,meiofauna,transition,polymorphism,international
taxonomy,cytotoxic,trap,seawater,black_coral,evidence,lutjanus_synagris,effort,segment,phase_shifts,family,database,seagrass,remain,plume,ring,palythoa,recife,dolphin,demonstrate,gene,result,offshore,grunt,regard
caco,relate,hermaphroditism,variabilis,dolomite,activity,traditional,broad,lateral,phytal,characteristic,shore,diel,assemblage,flux,linear,madracis_decactis,erosion,stegastes,platform,cytochrome,control,argentina,specific,pressure
continental_shelf,display,strategy,close,pacific,mussismilia_harttii,gillnet,conclude,live,flesh,coastal_island,degree,overlap,resolution,measure,daily,identify,submerged,nuclear,field,barcode,aimed,degrees_n,member,need
biodiversity,laboratory,teleostei,profile,climate,long_term,trawl,satellite,redescription,diverse,increase,province,lutjanus_alexandrei,hinge,carbon,survival,fission,aimed,event,recruit,loci,action,southernmost,consist,marine_reserve
foslie,association,adult,member,ratio,decline,aggregation,case,stony_coral,winter,spatial_scale,scuba,stomach,characterize,caravelas,constant,caryophylliidae,meiofauna,substrate,overgrowth,separate,limit,meter,rearrange,perform
thin,reduce,crustacea,understand,antarctic,heat,lek,attribute,south_western_atlantic,function,surrounding,attention,inhabit,influence,chlorophyll,curve,fire,nematoda,life,negative,mtdna,industr,inhabit,block,part
surface,derived,pisces,feature,primary,mesocosm,yield,reference,differ,benthic_organisms,metric,carangidae,herbivorous_fish,evidence,groundwater,manatus,volume,composit,aggressive,local,demography,contribut,cape,possibl,park
wall,natural_products,life,prevalence,exclusive,worldwide,indicat,integrate,margin,patch,dominant_species,range,category,source,particle,degree,actinian,build,pomacentridae,addition,indo_pacific,problem,arraial_cabo,acrocentric,socioeconomic
corallinophycidae,antibacterial,january,photic,possible,sst,bahia,regional,porifera,hard,reef_fish_community,review,stable_isotope,bottom,dissolved,movement,colonial,sandy_beach,station,niche,migration,waste,north_carolina,hybridization,necessary
microscopy,structure,panulirus,fatty_acid,enhance,severe,lutjanus_jocu,assess,small,reveal,dominant,telemetry,detritus,northern,wet,fast,solitary,annelida,symbiosis,reduce,consistent,decade,recent,wrasse,aquarium
support,organic,retention,exhibit,explain,resilience,show,accuracy,presence,ecology,affect,relative,variation,seismic,offshore,reveal,favia_gravida,worm,resource,marina,process,sewage,hemisphere,robust,index
understand,order,cephalopod,represent,southwestern,biomarker,literature,coupled,setae,phase,proximity,recognized,nutrition,present,circulation,depend,mesentery,pattern,interspecific,become,panama,harbour,great,inversion,research
calcareous_algae,echinometra_lucunter,vulgaris,genus,dating,susceptib,predator,according,salmoneus,phaeophyta,depend,underwater,relative,inner,inlet,proxy,possible,bivalve,blenniidae,rapid,eastern_atlantic,litter,neritic,remarkable,world
red,anti,breed,addition,continental_margin,control,epinephelidae,exist,mu_m,occurrence,survey,central_atlantic,fish_assemblage,history,perform,monitoring,toxin,sublittoral,scarus,chromis,historic,information,investigate,basal,tool
branch,phenolic,spawn,harveyi,decrease,local,local_ecological_knowledge,publish,pale,overall,test,ascension,tide_pool,ridge,organic_matter,decrease,scolymia,ceara,relationship,direct,examin,municipality,amazon,evidence,context
mesophyllum,alkaloid,immature,heterotrophic,occur,potential,evaluate,allowed,shape,decline,environmental_factors,historic,shallow_water,form,hydrologic,addition,cryptochiridae,praia,specialization,test,test,develop,brown,bearing,conflict
association,south_eastern_coast,juvenile,clone,survey,oxidative_stress,aggregations,researcher,teeth,turbid,biomass,comment,shift,palaeoecology,nearshore,–,increase,adjacent,habit,density,larval,metal,pagurid,barrier,action
recognized,role,southeast,obtain,explore,copper,value,alternative,inhabit,baseline,vertical,qualitative,ray,grain_size,wind,infinity,implication,pool,attack,range_expansion,microsatellite,water_quality,previous,halichoeres_poeyi,ecosystem_services
porolithon,sclerite,november,metabolism,apart,parameter,finding,required,anal,epilithic,benthic_cover,stone,connectivity,interval,mouth,exhibit,calcifi,side,stegastes_rocasensis,cup_coral,systematic,provide,primary,stegastes,paper
crust,chromatography,dusky_grouper,clade,serie,year,ground,scenario,eye,composit,available,day,organization,relative,eutrophication,chemistry,zooxanthellate,cement,scarus_trispinosus,efficiency,amazon,subjected,venezuela,diversification,attribute
detail,perform,day,virus,focus,affect,fleet,gis,discover,follow,adjacent,ostracods,understand,continental,edge,already,coastal_reef,association,carnivorous,invader,cluster,experience,yucatan,pelagic,public
layer,brittle,pattern,produce,obtain,hydrocoral,cpue,use,copepod,remain,rugosity,majority,dominant,equatorial,mix,von_bertalanffy,porto_de_galinhas,affected,surgeonfish,occup,restrict,service,patagonia,derived,category
conceptacle,concentration,settle,length,implication,chlorophyll,recover,mosaic,tethya,caulerpa,temporal,marine_park,dasyatis,platform,value,white,cnidae,represent,labridae,harbour,complex,potential,colombia,apparent,spill
psba,toxicity,metamorphosis,majority,lack,test,aspects,spatial,monstrilloid,agardh,number,peter,water_column,inner_shelf,organic,pattern,tissue,ecosystem,grazing,cover,red,according,micro,anisotremus,governance
morpho,plant,indicat,nitrogen,depth_range,evaluate,include,remain,muscular,hypnea,predictor,malacoctenus,finding,old,environmental_factors,positive,widespread,upper,mullidae,alvarezii,bermuda,harpacticoid,combine,gramma,government
dam,fungi,grapsus,white_plague_disease,cwc,acclimation,improve,cost,chaetae,mobile,month,vitoria,kyphosids,incise,lagoon,role,corallimorpharian,level,butterflyfish,farm,western,case,united_states,bodianus,country
spongites,cnidaria,gametogenesis,proteobacteria,depletion,regime,mycteroperca_bonaci,agreement,terebellid,time,north,side,exhibit,near,continental,always,hexacorallia,petaloconchus_varians,chaetodon_striatus,􏰕,cryptic,knowledge,pacific,arms,long_term
relate,benthic,different,towards,rare,symbiont,ghost,lack,recent,evaluate,transect,volcanic,consistent,organic_matter,average,opaque,species_diversity,barra,elacatinus,response,caudata,free,cross_shelf,characteristic,opportunity
nodule,biological,planula,caim,equatorial,interaction,strong,consider,isopod,national,temperate,st_helena,generalist,gravel,function,means,zoanthus_sociatus,morphodynamic,thalassoma_noronhanum,artificial,individual,involv,lysmata,robertsonian,red_list
erubescens,one,individual,involv,small,process,young,support,redescribe,cuneata,investigate,western_atlantic,substrate,section,abrolhos_bank,longevity,morphometric,taxa,display,biodiversity,haplotype,boipeba,black,composit,planning
melobesioideae,diadema,life_cycle,rdna,santos,antioxidant,particular,efficiency,line,dictyota,configuration,ray,lutjanus_jocu,condition,submarine,energy,cavity,baia_de_todos_os_santos,acanthurus_coeruleus,decade,bayesian,worldwide,continent,conventional,stakeholder
extreme,metabolite,ovarian,occurrence,deepwater,adaptation,concerning,appropriate,caudal,fringing,transient,anthiinae,act,sequence,january,disc,modes,profile,refuge,coccinea,ability,closed,andor,nucleus,maintain
amphiroa,didemnum,mithracids,recover,continental_slope,relate,establish,calcite,asterocheres,group,scale,vitoria_trindade_chain,mamanguape,east,flood,sex,evaluate,leeward,act,resistant,allopatry,relate,terms,organizer,harvest
disturbance,aplysina,represent,pyrh,deglaciation,show,land,role,morphotype,marine_park,planktivore,compiled,roving,indicate,location,recruit,clone,ponta,cephalopholis_fulva,biofouling,diagnostic,demonstrate,meristic,pericentric,explore
worldwide,work,appear,sequencing,holothuroidea,measure,island,remote_sensing,updated,random,numbers,comprehensive,frequency,hydrodynamic,derived,interval,porites,fringe,proportion,month,monophyletic,snorkel,peninsula,role,design
crustose,generalist,intense,archaea,typical,irradiance,ecological,habitat,sensu,grazer,deploy,carcharinus_perezi,sympatric,feature,oceanography,towards,sparisoma,drift,sparisoma_amplum,lesson,genotype,heavy,southward,situ,vulnerable
electron,pharmacology,remain,otus,evidence,carbon,evidence,select,stripe,association,turnover,lemon,gut,extensi,oxygen,recapture,south_atlantic,topography,eretmochelys,mussel,closely_related,dredge,tropics,brown,scientific
million,necrosis,octopodidae,medium,hypothesis,stable,vulnerable,sensitive,head,space,attraction,stereo,remain,quaternary,oligotrophic,tag,positive,front,animal,lionfish,origin,rate,northwestern,heterochromatic,legislation
atlantic,synthesis,numbers,transcriptome,project,photic,semi,interpret,gen,landscape,conduct,typical,resident,river,upper,precision,normal,windward,terminal,tissue,currents,certain,asia,paper,manager
gulf_california,asteroidea,carapace,metazoan,brazil_current,cause,co_management,employ,association,grazing,species_diversity,significance,food_web,narrow,forcing,specimen,basal,physical,grunt,external,recognized,maracajau,mouth,intra,inventory